name,display_name,description,type,prompt
first_outreach_email,First-time Outreach (Email),Initial email contact on email with a potential candidate,candidate,"Generate a professional outreach email introducing the job opportunity. Include how you found their profile, briefly describe the role and key benefits, and request their interest with a clear call-to-action."
first_outreach_linkedin,First-time Outreach (LinkedIn),Initial LinkedIn contact with a potential candidate,candidate,"Create a concise LinkedIn message introducing the job opportunity. Keep it brief but engaging, mention the role title and company, highlight one key benefit, and ask if they're open to learning more."
initial_follow_up_email,Follow-up Message,Next steps after successful interview,candidate,"Write a follow-up email for a previous outreach. Reference the initial contact, reiterate the opportunity value, address potential concerns about timing, and encourage a response with a soft approach."
interview_scheduling,Interview Scheduling,Schedule interview with interested candidate,candidate,"Create an email to schedule an interview. Congratulate them on moving forward, provide interview details (format, duration, participants), offer scheduling options, and include any preparation materials or next steps."
positive_interview_feedback,Positive Interview Feedback,Polite rejection after interview process,candidate,"Generate a positive post-interview email. Thank them for their time, share specific positive feedback from the interview, outline next steps in the process, and provide timeline expectations."
rejection,Rejection,Polite rejection after interview process,candidate,"Write a respectful rejection email. Thank them for their time and interest, provide brief feedback if appropriate, encourage them to apply for future opportunities, and maintain a positive relationship."
custom_candidate,✨ Custom Prompt,Create your own AI generation instructions,candidate,
candidate_presentation,Candidate Presentation,Present qualified candidate to client,client,"Create a professional candidate presentation email. Introduce the candidate with their key qualifications, highlight how they match the job requirements, include relevant background details, and recommend next steps."
interview-scheduling,Interview Scheduling,Schedule client interview with candidate,client,"Generate an email to coordinate interview scheduling with the client. Present the candidate briefly, propose interview format and timing options, clarify interview panel requirements, and request confirmation."
offer-negotiation,Offer Negotiation,Discuss compensation and terms,client,"Write an email regarding offer negotiations. Present the candidate's feedback professionally, outline specific negotiation points (salary, benefits, start date), provide market context if relevant, and suggest resolution paths."
follow-up,Follow-up,Follow up on candidate status,client,"Create a follow-up email to check on hiring process status. Reference previous submissions or conversations, request updates on candidate evaluation, offer additional support, and maintain engagement."
custom_client,✨ Custom Prompt,Create your own AI generation instructions,client,
